activity_id,title,description,sponsor,tags,date,location,duration,audience,capacity,current_participants,organizer,img_url
1,Smart Campus Workshop,Player name human.,Tech Innovators,['Environment'],2024-08-03T04:01:14,"Room 305, Health Center",141,Students,78,29,Tech Innovators,https://example.com/image1.jpg
2,Sustainability Expo,White position dream include lead TV.,HealthTech,['Sustainability'],2024-06-03T16:28:53,"Lecture Hall 3, Environmental Science Building",80,Students,267,157,HealthTech,https://example.com/image2.jpg
3,Health and Wellness Seminar,Brother structure look election trouble southern.,CyberSafe Group,['Sustainability'],2024-06-25T21:55:41,"Room 305, Health Center",177,Students,81,6,CyberSafe Group,https://example.com/image3.jpg
4,Sustainability Expo,Line road media investment body.,Eco-Action Group,['Environment'],2024-03-04T17:08:59,"Room 202, Computer Science Building",110,"Students, Faculty",281,270,Eco-Action Group,https://example.com/image4.jpg
5,AI Workshop,Environment look culture director relationship us.,Tech Robotics Association,['Mental Health'],2024-05-23T22:00:06,"Room 305, Health Center",65,Students,295,169,Tech Robotics Association,https://example.com/image5.jpg
6,Smart Campus Workshop,Personal need cut modern record happy more.,Entrepreneurship Club,['Technology'],2024-11-16T04:00:35,"Room 305, Health Center",84,Students,298,141,Entrepreneurship Club,https://example.com/image6.jpg
7,Cybersecurity Awareness Workshop,Its thank bring movie simple close.,Wellness Group,['Mental Health'],2024-11-03T23:05:49,"Exhibition Hall, Green Building",113,Students,120,45,Wellness Group,https://example.com/image7.jpg
8,Blockchain for Beginners,Go expert opportunity expert.,SmartTech Club,['AI'],2024-02-06T00:15:51,"Room 202, Computer Science Building",89,Students,208,16,SmartTech Club,https://example.com/image8.jpg
9,Cybersecurity Awareness Workshop,Thank heavy remember take about level theory.,Tech Club,['Robotics'],2024-10-12T08:53:08,"Lecture Hall 3, Environmental Science Building",151,"Students, Faculty",214,28,Tech Club,https://example.com/image9.jpg
10,Sustainability Expo,Itself past position might population.,CyberSafe Group,['Blockchain'],2024-09-03T00:59:57,"Exhibition Hall, Green Building",105,Students,275,111,CyberSafe Group,https://example.com/image10.jpg
11,Startup Pitch Competition,Everybody after call they policy coach.,SmartTech Club,['Environment'],2024-08-06T17:36:19,"Room 305, Health Center",108,"Students, Faculty",67,15,SmartTech Club,https://example.com/image11.jpg
12,Smart Campus Workshop,Special prepare although no exactly vote student.,Tech Club,['Innovation'],2024-04-30T00:58:24,"Exhibition Hall, Science Museum",137,Students,138,58,Tech Club,https://example.com/image12.jpg
13,Sustainability Expo,Offer alone Mrs guy these.,SmartTech Club,['Innovation'],2024-05-18T06:10:40,"Lecture Hall 3, Environmental Science Building",131,"Students, Faculty",217,117,SmartTech Club,https://example.com/image13.jpg
14,Artificial Intelligence in Healthcare,No marriage director performance occur.,Entrepreneurship Club,['Cybersecurity'],2024-10-19T21:35:18,"Exhibition Hall, Green Building",118,"Students, Faculty",67,0,Entrepreneurship Club,https://example.com/image14.jpg
15,Startup Pitch Competition,No piece among.,Tech Club,['IoT'],2024-05-11T23:34:53,"Lecture Hall 3, Environmental Science Building",66,"Students, Faculty",257,1,Tech Club,https://example.com/image15.jpg
16,Sustainability Expo,Close help picture major soon visit any value.,Wellness Group,['Innovation'],2024-11-22T16:15:11,"Room 101, Engineering Building",81,Students,281,88,Wellness Group,https://example.com/image16.jpg
17,Environmental Awareness Talk,Likely worker fear prepare black something.,Wellness Group,['Mental Health'],2024-08-17T19:14:29,"Exhibition Hall, Green Building",110,Students,266,227,Wellness Group,https://example.com/image17.jpg
18,Environmental Awareness Talk,By finish rate.,Entrepreneurship Club,['AI'],2024-08-23T13:30:30,"Lecture Hall 3, Environmental Science Building",118,"Students, Faculty",174,132,Entrepreneurship Club,https://example.com/image18.jpg
19,Health and Wellness Seminar,Give subject life education.,EcoSolutions,['Innovation'],2024-08-26T13:02:39,"Room 202, Computer Science Building",74,Students,252,223,EcoSolutions,https://example.com/image19.jpg
20,Smart Campus Workshop,Add value feel mean dark star.,Entrepreneurship Club,['AI'],2024-10-24T06:52:03,"Room 305, Health Center",172,"Students, Faculty",141,71,Entrepreneurship Club,https://example.com/image20.jpg
21,Blockchain for Beginners,Along hit every police various go three.,SmartTech Club,['Mental Health'],2024-11-28T00:29:55,"Exhibition Hall, Science Museum",81,"Students, Faculty",215,101,SmartTech Club,https://example.com/image21.jpg
22,Smart Campus Workshop,No yard particularly.,Tech Club,['Blockchain'],2024-08-12T21:05:08,"Room 305, Health Center",116,"Students, Faculty",61,60,Tech Club,https://example.com/image22.jpg
23,Robotics and Automation Expo,Yard same simple discussion together.,HealthTech,['Sustainability'],2024-11-02T23:15:33,"Exhibition Hall, Green Building",154,"Students, Faculty",63,45,HealthTech,https://example.com/image23.jpg
24,Smart Campus Workshop,See answer discover.,EcoSolutions,['Environment'],2024-06-04T04:03:26,"Room 202, Computer Science Building",86,Students,261,59,EcoSolutions,https://example.com/image24.jpg
25,Environmental Awareness Talk,Beat political become know data long raise.,Entrepreneurship Club,['Innovation'],2024-04-24T21:56:53,"Exhibition Hall, Science Museum",136,"Students, Faculty",162,1,Entrepreneurship Club,https://example.com/image25.jpg
26,Startup Pitch Competition,Place continue share eight relate road.,Tech Club,['AI'],2024-08-02T08:58:45,"Lecture Hall 3, Environmental Science Building",171,"Students, Faculty",118,59,Tech Club,https://example.com/image26.jpg
27,Artificial Intelligence in Healthcare,Close reduce attention.,Eco-Action Group,['Environment'],2024-08-28T16:35:39,"Exhibition Hall, Green Building",164,Students,229,219,Eco-Action Group,https://example.com/image27.jpg
28,Robotics and Automation Expo,They couple spend begin energy way plant.,Eco-Action Group,['Mental Health'],2024-02-05T18:24:48,"Room 101, Engineering Building",124,Students,289,44,Eco-Action Group,https://example.com/image28.jpg
29,Artificial Intelligence in Healthcare,Type then term.,Entrepreneurship Club,['Sustainability'],2024-10-16T03:11:26,"Exhibition Hall, Science Museum",160,"Students, Faculty",285,50,Entrepreneurship Club,https://example.com/image29.jpg
30,Environmental Awareness Talk,Voice also boy.,CyberSafe Group,['Technology'],2024-04-15T09:50:09,"Room 305, Health Center",180,"Students, Faculty",233,208,CyberSafe Group,https://example.com/image30.jpg
31,Health and Wellness Seminar,Beat international public.,Entrepreneurship Club,['Mental Health'],2024-05-13T05:29:25,"Room 202, Computer Science Building",78,Students,227,64,Entrepreneurship Club,https://example.com/image31.jpg
32,Robotics and Automation Expo,Say single may animal reduce receive fall.,Tech Innovators,['Sustainability'],2024-07-30T06:27:46,"Exhibition Hall, Science Museum",120,Students,76,63,Tech Innovators,https://example.com/image32.jpg
33,Health and Wellness Seminar,Serve knowledge score traditional.,Tech Innovators,['Blockchain'],2024-09-26T11:02:15,"Lecture Hall 3, Environmental Science Building",83,"Students, Faculty",71,39,Tech Innovators,https://example.com/image33.jpg
34,AI Workshop,Per good fight provide political strong.,EcoSolutions,['Environment'],2024-10-12T08:14:34,"Exhibition Hall, Green Building",154,"Students, Faculty",83,31,EcoSolutions,https://example.com/image34.jpg
35,Artificial Intelligence in Healthcare,Pick wide ball door poor continue.,Entrepreneurship Club,['AI'],2024-11-16T01:33:08,"Exhibition Hall, Green Building",83,"Students, Faculty",274,194,Entrepreneurship Club,https://example.com/image35.jpg
36,Startup Pitch Competition,Leader exactly page travel long certain.,Eco-Action Group,['Mental Health'],2024-02-13T05:13:16,"Room 101, Engineering Building",89,Students,112,41,Eco-Action Group,https://example.com/image36.jpg
37,Sustainability Expo,Hair figure beat.,Tech Robotics Association,['Mental Health'],2024-09-26T01:01:47,"Room 305, Health Center",153,Students,217,1,Tech Robotics Association,https://example.com/image37.jpg
38,Health and Wellness Seminar,Even firm grow.,Eco-Action Group,['IoT'],2024-02-15T13:15:39,"Exhibition Hall, Green Building",134,"Students, Faculty",65,39,Eco-Action Group,https://example.com/image38.jpg
39,Health and Wellness Seminar,Manage far up leave where charge.,Entrepreneurship Club,['Sustainability'],2024-02-28T09:12:34,"Room 101, Engineering Building",148,"Students, Faculty",101,76,Entrepreneurship Club,https://example.com/image39.jpg
40,Startup Pitch Competition,Movement great media spring skill.,Eco-Action Group,['Sustainability'],2024-10-16T04:32:38,"Exhibition Hall, Green Building",79,Students,139,123,Eco-Action Group,https://example.com/image40.jpg
41,Health and Wellness Seminar,Others more remain ask report magazine beat.,CyberSafe Group,['Innovation'],2024-06-02T06:42:06,"Room 101, Engineering Building",74,Students,124,15,CyberSafe Group,https://example.com/image41.jpg
42,Smart Campus Workshop,Describe many manage.,EcoSolutions,['Technology'],2024-06-18T13:56:41,"Exhibition Hall, Green Building",87,Students,149,12,EcoSolutions,https://example.com/image42.jpg
43,Robotics and Automation Expo,Test party mention carry work former book.,Tech Robotics Association,['Cybersecurity'],2024-10-13T04:46:57,"Exhibition Hall, Science Museum",147,Students,247,74,Tech Robotics Association,https://example.com/image43.jpg
44,Sustainability Expo,South in color statement nearly book.,HealthTech,['Blockchain'],2024-09-18T04:25:59,"Exhibition Hall, Science Museum",106,Students,79,22,HealthTech,https://example.com/image44.jpg
45,Sustainability Expo,Save degree since approach.,Eco-Action Group,['Mental Health'],2024-06-09T23:30:41,"Exhibition Hall, Science Museum",113,Students,267,70,Eco-Action Group,https://example.com/image45.jpg
46,Artificial Intelligence in Healthcare,Across pattern brother.,Wellness Group,['Environment'],2024-02-29T09:48:27,"Room 101, Engineering Building",93,Students,280,144,Wellness Group,https://example.com/image46.jpg
47,Robotics and Automation Expo,Wind focus new above move responsibility.,HealthTech,['Innovation'],2024-04-19T13:35:55,"Lecture Hall 3, Environmental Science Building",157,"Students, Faculty",274,149,HealthTech,https://example.com/image47.jpg
48,Startup Pitch Competition,Bed yet radio area.,SmartTech Club,['Innovation'],2024-09-17T17:17:01,"Room 101, Engineering Building",107,"Students, Faculty",228,121,SmartTech Club,https://example.com/image48.jpg
